,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
164,V216,124,141,169,125,125,153,139.5
165,V217,81,76,106,91,49,106,84.83333333333333
166,V219,106,83,135,91,87,129,105.16666666666667
167,V220,162,132,195,133,180,191,165.5
168,V221,358,341,457,308,299,413,362.6666666666667
169,V222,274,219,323,226,184,261,247.83333333333334
170,V223,49,51,64,56,57,45,53.666666666666664
171,V224,118,107,112,147,97,150,121.83333333333333
172,V225,44,63,61,44,55,58,54.166666666666664
173,V226,91,71,36,63,43,59,60.5
174,V227,82,34,60,45,51,72,57.333333333333336
175,V228,115,63,95,72,48,86,79.83333333333333
176,V229,206,160,229,186,130,186,182.83333333333334
177,V231,72,61,96,46,48,111,72.33333333333333
178,V233,101,91,117,68,44,103,87.33333333333333
179,V234,189,169,197,138,140,202,172.5
180,V238,66,60,84,63,42,53,61.333333333333336
181,V239,75,63,90,69,48,93,73.0
182,V242,67,53,64,35,33,69,53.5
183,V243,132,136,148,164,124,147,141.83333333333334
184,V244,96,73,60,47,72,59,67.83333333333333
185,V245,156,186,180,178,157,170,171.16666666666666
186,V246,96,61,88,48,47,68,68.0
187,V247,22,23,43,20,24,32,27.333333333333332
188,V249,67,33,75,28,49,63,52.5
189,V251,120,145,161,140,117,120,133.83333333333334
190,V253,82,84,107,72,60,115,86.66666666666667
191,V256,142,128,120,121,122,182,135.83333333333334
192,V257,184,117,235,111,101,195,157.16666666666666
193,V258,196,233,224,230,214,261,226.33333333333334
194,V259,206,208,239,177,191,245,211.0
195,V261,433,324,407,361,298,400,370.5
196,V262,223,162,262,166,164,213,198.33333333333334
197,V263,219,161,214,139,148,210,181.83333333333334
198,V264,456,406,567,383,336,530,446.3333333333333
199,V265,268,239,264,221,174,288,242.33333333333334
200,V266,237,199,243,313,282,286,260.0
201,V267,369,269,448,327,266,419,349.6666666666667
202,V268,221,162,281,196,224,248,222.0
203,V270,199,229,202,161,151,217,193.16666666666666
204,V271,250,241,251,226,205,303,246.0
205,V272,161,133,144,124,96,174,138.66666666666666
206,V273,136,118,182,123,86,168,135.5
207,V274,306,271,359,254,214,358,293.6666666666667
208,V275,171,122,159,127,91,160,138.33333333333334
209,V276,183,198,247,225,140,246,206.5
210,V277,378,306,449,313,295,488,371.5
211,V278,216,262,306,191,134,301,235.0
212,V279,180,139,183,127,154,191,162.33333333333334
213,V280,177,125,155,126,110,168,143.5
214,V282,583,474,589,457,384,463,491.6666666666667
215,V283,641,565,652,540,367,561,554.3333333333334
216,V285,383,327,440,330,325,407,368.6666666666667
217,V287,69,53,74,54,66,66,63.666666666666664
218,V288,138,77,100,100,93,93,100.16666666666667
219,V289,102,129,147,114,120,117,121.5
220,V291,336,307,379,259,236,336,308.8333333333333
221,V292,186,138,150,87,111,182,142.33333333333334
222,V294,282,352,412,338,312,436,355.3333333333333
223,V303,47,46,79,52,37,76,56.166666666666664
224,V304,41,28,40,30,17,33,31.5
225,V306,347,331,430,292,210,437,341.1666666666667
226,V307,1257,1031,1457,1104,957,1363,1194.8333333333333
227,V308,551,467,622,495,419,673,537.8333333333334
228,V310,1079,1057,1227,1015,819,1297,1082.3333333333333
229,V312,623,476,681,577,441,682,580.0
230,V313,1641,1330,1550,1207,1186,1536,1408.3333333333333
231,V314,956,835,1069,819,717,923,886.5
232,V315,1264,1034,1190,891,792,1004,1029.1666666666667
233,V317,769,628,850,547,534,753,680.1666666666666
234,V322,20,17,25,22,22,30,22.666666666666668
235,V323,84,120,107,106,87,146,108.33333333333333
236,V324,52,49,63,57,53,79,58.833333333333336
237,V326,30,47,53,44,50,49,45.5
238,V329,51,56,56,53,62,50,54.666666666666664
239,V331,38,32,49,35,33,45,38.666666666666664
240,V332,105,116,133,119,110,154,122.83333333333333
241,V333,75,53,57,55,63,69,62.0
242,V335,97,75,101,87,74,119,92.16666666666667
243,V336,55,61,80,61,29,55,56.833333333333336
244,V338,119,105,139,82,105,132,113.66666666666667
245,id_01,1145,1108,1326,1059,914,1399,1158.5
246,id_02,1407,1417,1860,1339,1192,1761,1496.0
247,id_03,376,275,370,370,309,383,347.1666666666667
248,id_05,1731,1533,2028,1432,1300,1808,1638.6666666666667
249,id_06,1952,1800,2439,1910,1599,2263,1993.8333333333333
250,id_09,267,315,420,333,259,457,341.8333333333333
251,id_11,209,219,215,175,153,219,198.33333333333334
252,id_13,1889,1666,2224,1461,1366,2172,1796.3333333333333
253,id_14,616,655,729,580,490,655,620.8333333333334
254,id_17,248,193,210,258,267,329,250.83333333333334
255,id_19,3249,2925,3928,2774,2524,3564,3160.6666666666665
256,id_20,4004,3341,4557,3362,3269,4026,3759.8333333333335
257,id_32,78,95,117,77,88,77,88.66666666666667
258,DeviceInfo,1605,1313,1765,1212,1230,1683,1468.0
259,device_name,540,600,702,594,515,702,608.8333333333334
260,device_version,1322,1059,1498,1099,998,1261,1206.1666666666667
261,version_id_30,576,586,643,731,567,775,646.3333333333334
262,browser_id_31,581,535,675,591,480,712,595.6666666666666
263,version_id_31,1665,1392,1959,1371,1174,1846,1567.8333333333333
264,screen_width,541,539,571,526,435,732,557.3333333333334
265,screen_height,677,725,746,564,586,764,677.0
266,had_id,0,0,0,0,0,0,0.0
267,TransactionAmt_to_mean_card1,8169,6588,8729,6036,5215,7888,7104.166666666667
268,TransactionAmt_to_mean_card4,5781,4827,6246,4612,4608,5852,5321.0
269,TransactionAmt_to_std_card1,9191,7532,9649,7609,6161,9770,8318.666666666666
270,TransactionAmt_to_std_card4,6095,5483,6651,5091,3975,6485,5630.0
271,id_02_to_mean_card1,1975,1776,2243,1604,1504,2186,1881.3333333333333
272,id_02_to_mean_card4,1615,1459,1847,1390,1159,1808,1546.3333333333333
273,id_02_to_std_card1,1952,1674,2401,1774,1573,2401,1962.5
274,id_02_to_std_card4,1314,1216,1487,1222,908,1595,1290.3333333333333
275,D15_to_mean_card1,3882,3140,3908,3060,2859,3732,3430.1666666666665
276,D15_to_mean_card4,2409,2057,2451,1928,1692,2445,2163.6666666666665
277,D15_to_std_card1,3104,2630,3195,2488,2052,2893,2727.0
278,D15_to_std_card4,1598,1378,1467,1272,986,1609,1385.0
279,D15_to_mean_addr1,2511,2171,2538,2199,1942,2695,2342.6666666666665
280,D15_to_std_addr1,1729,1776,2010,1510,1430,1906,1726.8333333333333
281,TransactionAmt_Log,2954,2449,3231,2902,2147,3445,2854.6666666666665
282,TransactionAmt_decimal,4882,3795,5208,4102,3132,5283,4400.333333333333
283,Transaction_day_of_week,4156,2910,4076,2963,2442,3406,3325.5
284,Transaction_hour,6305,5477,7274,4997,4542,6657,5875.333333333333
285,id_02__id_20,1544,1303,1842,1163,1094,1777,1453.8333333333333
286,id_02__D8,658,673,984,628,557,998,749.6666666666666
287,D11__DeviceInfo,1983,1704,2160,1552,1481,1970,1808.3333333333333
288,DeviceInfo__P_emaildomain,3392,3017,3604,2641,2319,3457,3071.6666666666665
289,P_emaildomain__C2,5407,4452,5653,4342,3836,5437,4854.5
290,card2__dist1,4724,3746,4927,4096,3717,4815,4337.5
291,card1__card5,9366,7469,9616,7724,6773,9264,8368.666666666666
292,card2__id_20,3489,2863,3669,2994,2176,3735,3154.3333333333335
293,card5__P_emaildomain,5627,4705,5800,4402,3837,5671,5007.0
294,addr1__card1,10122,8674,10663,8575,7580,10441,9342.5
295,card1_count_full,5946,5087,6354,4936,4154,5858,5389.166666666667
296,card2_count_full,6010,5000,6500,5110,4488,6450,5593.0
